Year,RAM_Type,Size,Clock,Sticks,Bandwidth,Latency
2020,DDR4-3000,32,3000,4,192.0,5.0
2023,DDR5-6600,64,6600,4,422.4,2.4242424242424243
2020,DDR4-4000,32,4000,4,256.0,4.0
2023,DDR5-5600,96,5600,2,179.2,2.857142857142857
2023,DDR5-5200,96,5200,2,166.4,3.0769230769230766
2019,DDR4-3200,32,3200,4,204.8,5.0
2020,DDR4-3600,16,3600,4,230.4,5.0
2022,DDR5-4800,32,4800,2,153.6,8.333333333333334
2019,DDR4-3000,32,3000,1,48.0,5.0
2021,DDR4-3200,64,3200,4,204.8,5.0
2021,DDR4-3600,32,3600,4,230.4,5.0
2022,DDR5-6200,64,6200,4,396.8,2.5806451612903225
2022,DDR4-2666,64,2666,4,170.624,6.001500375093774
2022,DDR5-6600,64,6600,4,422.4,2.4242424242424243
2022,DDR4-3000,64,3000,4,192.0,5.0
2022,DDR5-6400,64,6400,4,409.6,2.5
2022,DDR4-3200,64,3200,4,204.8,5.0
2021,DDR4-2400,32,2400,4,153.6,6.666666666666667
2023,DDR4-2666,128,2666,1,42.656,6.001500375093774
2021,DDR4-3466,32,3466,4,221.824,4.616272360069244
2021,DDR4-2666,128,2666,4,170.624,6.001500375093774
2022,DDR4-2666,64,2666,4,170.624,6.001500375093774
2021,DDR4-3333,32,3333,4,213.312,4.8004800480048
2021,DDR4-3200,64,3200,4,204.8,5.0
2021,DDR4-3200,64,3200,4,204.8,5.0
2021,DDR4-2400,128,2400,8,307.2,6.666666666666667
2021,DDR4-3466,32,3466,4,221.824,4.616272360069244
2022,DDR4-3000,64,3000,4,192.0,5.0
2022,DDR4-3200,64,3200,4,204.8,5.0
2021,DDR4-2400,32,2400,4,153.6,6.666666666666667
2022,DDR4-2933,64,2933,4,187.712,5.455165359699966
2022,DDR4-3200,64,3200,8,409.6,5.0
2022,DDR4-2133,64,2133,8,273.024,7.501172058134084
2022,DDR4-3000,128,3000,8,384.0,5.0
2021,DDR4-2666,64,2666,1,42.656,6.001500375093774
2022,DDR4-3466,64,3466,4,221.824,4.616272360069244
2022,DDR4-4266,16,4266,2,136.512,3.750586029067042
2021,DDR4-3333,32,3333,4,213.312,4.8004800480048
2023,DDR4-3600,32,3600,4,230.4,5.0
2022,DDR4-3600,32,3600,4,230.4,5.0
2022,DDR4-3000,64,3000,4,192.0,5.0
2023,DDR4-3733,32,3733,4,238.912,4.286096972944013
2021,DDR4-3866,32,3866,4,247.424,4.138644593895499
2021,DDR4-3200,64,3200,1,51.2,5.0
2021,DDR4-3866,32,3866,4,247.424,4.138644593895499
2021,DDR4-2666,64,2666,8,341.248,6.001500375093774
2021,DDR4-3733,32,3733,4,238.912,4.286096972944013
2021,DDR4-3200,64,3200,1,51.2,5.0
2021,DDR4-3000,64,3000,4,192.0,5.0
2021,DDR4-3000,64,3000,1,48.0,5.0
2021,DDR4-4000,32,4000,4,256.0,4.0
2022,DDR4-3600,64,3600,4,230.4,5.0
2023,DDR5-5200,192,5200,4,332.8,3.0769230769230766
2021,DDR4-3000,64,3000,1,48.0,5.0
2021,DDR4-3200,64,3200,1,51.2,5.0
2022,DDR4-3600,64,3600,4,230.4,5.0
2022,DDR4-3600,64,3600,4,230.4,5.0
2021,DDR4-3000,64,3000,1,48.0,5.0
2023,DDR5-5200,192,5200,4,332.8,3.0769230769230766
2022,DDR4-3600,64,3600,8,460.8,5.0
2022,DDR4-3466,64,3466,4,221.824,4.616272360069244
2022,DDR4-4266,16,4266,2,136.512,3.750586029067042
2021,DDR4-3333,32,3333,4,213.312,4.8004800480048
2023,DDR4-3600,32,3600,4,230.4,5.0
2022,DDR4-3600,32,3600,4,230.4,5.0
2022,DDR4-3000,64,3000,4,192.0,5.0
2023,DDR4-3733,32,3733,4,238.912,4.286096972944013
2021,DDR4-3866,32,3866,4,247.424,4.138644593895499
2021,DDR4-3200,64,3200,1,51.2,5.0
2021,DDR4-3866,32,3866,4,247.424,4.138644593895499
2021,DDR4-2666,64,2666,8,341.248,6.001500375093774
2021,DDR4-3733,32,3733,4,238.912,4.286096972944013
2021,DDR4-3200,64,3200,1,51.2,5.0
2021,DDR4-3000,64,3000,4,192.0,5.0
2021,DDR4-3000,64,3000,1,48.0,5.0
2021,DDR4-4000,32,4000,4,256.0,4.0
2022,DDR4-3600,64,3600,4,230.4,5.0
2023,DDR5-5200,192,5200,4,332.8,3.0769230769230766
2021,DDR4-3000,64,3000,1,48.0,5.0
2022,DDR4-3600,64,3600,4,230.4,5.0
2022,DDR4-3600,64,3600,4,230.4,5.0
2023,DDR5-5200,192,5200,4,332.8,3.0769230769230766
2022,DDR4-3600,64,3600,8,460.8,5.0
2022,DDR4-3600,64,3600,8,460.8,5.0
2021,DDR4-2666,64,2666,4,170.624,6.001500375093774
2022,DDR4-3200,128,3200,4,204.8,5.0
2021,DDR4-2800,64,2800,8,358.4,5.714285714285714
2023,DDR4-2666,128,2666,1,42.656,6.001500375093774
2019,DDR4-3200,16,3200,1,51.2,5.0
2019,DDR4-3000,16,3000,2,96.0,5.0
2019,DDR4-2666,16,2666,2,85.312,6.001500375093774
2020,DDR4-3200,16,3200,2,102.4,5.0
2021,DDR4-3600,32,3600,2,115.2,5.0
2021,DDR4-3200,32,3200,2,102.4,5.0
2022,DDR5-4800,64,4800,2,153.6,8.333333333333334
2019,DDR4-3600,16,3600,2,115.2,5.0
2021,DDR4-3600,16,3600,2,115.2,5.0
2020,DDR4-3200,16,3200,2,102.4,5.0
2019,DDR4-3200,16,3200,2,102.4,5.0
2021,DDR4-3600,32,3600,2,115.2,5.0
2020,DDR4-3000,16,3000,2,96.0,5.0
2022,DDR4-3600,32,3600,2,115.2,5.0
