,ID,Name,Year,RAM_Type,Size,Clock,Sticks,Bandwidth,Latency
141,142,Corsair Vengeance LED (White),2019,DDR4-2666,32,2666,1,21.328,12.003000750187548
142,143,Corsair Dominator Platinum (16GB),2020,DDR4-2400,16,2400,2,38.4,13.333333333333334
143,144,Corsair Vengeance RGB,2023,DDR5-7000,48,7000,2,112.0,11.428571428571429
144,145,Corsair Dominator Platinum + AF,2020,DDR4-3866,8,3866,2,61.856,8.277289187790998
145,146,Corsair Vengeance LPX (Blue),2019,DDR4-2400,32,2400,4,76.8,13.333333333333334
146,147,Corsair Vengeance LED (White),2019,DDR4-2666,32,2666,4,85.312,12.003000750187548
147,148,Corsair Vengeance RGB Pro (Black),2021,DDR4-3000,32,3000,2,48.0,10.0
148,149,Corsair Dominator Platinum,2020,DDR4-2666,16,2666,4,85.312,12.003000750187548
149,150,Corsair Vengeance RGB RT,2022,DDR4-3600,64,3600,4,115.2,10.0
150,151,Corsair Vengeance RGB RT,2022,DDR4-4600,32,4600,2,73.6,6.956521739130435
151,152,Corsair Vengeance,2023,DDR5-6200,64,6200,2,99.2,12.903225806451612
152,153,Corsair Vengeance RGB,2023,DDR5-6000,64,6000,2,96.0,13.333333333333334
153,154,Corsair RGB 32GB,2021,DDR4-2666,32,2666,4,85.312,12.003000750187548
154,155,Corsair Vengeance RGB Pro (Black),2021,DDR4-3466,32,3466,2,55.456,9.232544720138488
155,156,Corsair Dominator Platinum RGB,2022,DDR4-3600,32,3600,4,115.2,10.0
156,157,Crucial Ballistix Sport LT (White),2019,DDR4-3000,64,3000,4,96.0,10.0
157,158,Corsair LPX 16GB,2020,DDR4-4266,16,4266,2,68.256,7.501172058134084
158,159,Corsair Vengeance LED (Blue),2019,DDR4-3000,32,3000,1,24.0,10.0
159,160,Corsair Vengeance RGB RT,2022,DDR4-3200,64,3200,4,102.4,10.0
160,161,Corsair Vengeance RGB RT,2022,DDR4-3200,64,3200,4,102.4,10.0
161,162,Corsair Dominator Platinum + AF,2020,DDR4-3600,16,3600,2,57.6,10.0
162,163,Corsair Vengeance,2023,DDR5-6600,64,6600,2,105.6,12.121212121212121
163,164,Corsair Dominator Platinum,2020,DDR4-3733,16,3733,2,59.728,8.572193945888026
164,165,Corsair Vengeance RGB RS,2022,DDR4-3200,64,3200,4,102.4,10.0
165,166,Corsair LED 32GB,2021,DDR4-3200,32,3200,2,51.2,10.0
166,167,Corsair Vengeance LED (White),2019,DDR4-3000,32,3000,4,96.0,10.0
167,168,Corsair Vengeance RGB Pro (Black),2021,DDR4-3200,32,3200,4,102.4,10.0
168,169,Corsair Dominator Platinum RGB,2022,DDR5-6000,64,6000,2,96.0,13.333333333333334
169,170,Corsair Vengeance RGB,2023,DDR5-6200,64,6200,4,198.4,12.903225806451612
170,171,Corsair Vengeance LED (Blue),2019,DDR4-3200,32,3200,1,25.6,10.0
171,172,Corsair Vengeance LED (Red),2019,DDR4-3000,32,3000,4,96.0,10.0
172,173,Corsair LED 32GB,2021,DDR4-3200,32,3200,4,102.4,10.0
173,174,Corsair Vengeance,2023,DDR5-5200,96,5200,2,83.2,15.384615384615385
174,175,Corsair Vengeance LPX (Black),2020,DDR4-2133,64,2133,1,17.064,15.002344116268167
175,176,Corsair Vengeance RGB,2023,DDR5-6400,64,6400,4,204.8,12.5
176,177,Corsair Vengeance LED (Blue),2019,DDR4-3000,32,3000,4,96.0,10.0
177,178,Corsair Dominator Platinum RGB Series,2022,DDR4-3200,32,3200,2,51.2,10.0
178,179,Corsair Vengeance RGB RT,2022,DDR4-3600,128,3600,4,115.2,10.0
179,180,Corsair Vengeance LPX (White),2020,DDR4-2666,64,2666,4,85.312,12.003000750187548
180,181,Corsair Dominator Platinum 32GB,2020,DDR4-3000,32,3000,4,96.0,10.0
181,182,Corsair Vengeance RGB,2023,DDR5-6600,64,6600,4,211.2,12.121212121212121
182,183,Corsair LPX 32GB,2020,DDR4-4000,32,4000,4,128.0,8.0
183,184,Corsair Vengeance RGB,2023,DDR5-5600,96,5600,2,89.6,14.285714285714286
184,185,Corsair Vengeance RGB,2023,DDR5-5200,96,5200,2,83.2,15.384615384615385
185,186,Corsair Vengeance LED (Blue),2019,DDR4-3200,32,3200,4,102.4,10.0
186,187,Corsair Dominator Platinum + AF,2020,DDR4-3600,16,3600,4,115.2,10.0
187,188,Kingston ValueRAM,2022,DDR5-4800,32,4800,2,76.8,16.666666666666668
188,189,Corsair Vengeance LED (White),2019,DDR4-3000,32,3000,1,24.0,10.0
189,190,Corsair Vengeance RGB Pro (White),2021,DDR4-3200,64,3200,4,102.4,10.0
190,191,Corsair RGB 32GB,2021,DDR4-3600,32,3600,4,115.2,10.0
191,192,Corsair Dominator Platinum RGB,2022,DDR5-6200,64,6200,4,198.4,12.903225806451612
192,193,Corsair Vengeance RGB Pro (White),2022,DDR4-2666,64,2666,4,85.312,12.003000750187548
193,194,Corsair Dominator Platinum RGB,2022,DDR5-6600,64,6600,4,211.2,12.121212121212121
194,195,Corsair Dominator Platinum RGB Series,2022,DDR4-3000,64,3000,4,96.0,10.0
195,196,Corsair Dominator Platinum RGB,2022,DDR5-6400,64,6400,4,204.8,12.5
196,197,Corsair Vengeance RGB Pro (White),2022,DDR4-3200,64,3200,4,102.4,10.0
197,198,Corsair Dominator Platinum Series,2021,DDR4-2400,32,2400,4,76.8,13.333333333333334
198,199,Corsair Vengeance LPX Black DDR4-2666 CL16,2023,DDR4-2666,128,2666,1,21.328,12.003000750187548
199,200,Corsair Vengeance LED (White),2021,DDR4-3466,32,3466,4,110.912,9.232544720138488
